Date,Cum. flow,Condensate,Water,CGR,WGR,Avg. Pressure,Total flow
22/05/2004,10.7415,0,0,0,0,0,10.2985
23/05/2004,34.3655,8.05,3.2,0.340755164,0.135455469,2242,9.51
24/05/2004,58.606,8.12,5.03,0.334976589,0.207503971,2283,9.796
25/05/2004,83.7587,8.01,3.1,0.318454878,0.123247206,2323,9.4685
26/05/2004,108.0027,5.58,1.43,0.23016004,0.058983666,2328.5,9.672
27/05/2004,133.1326,5.62,1.78,0.223637977,0.070831957,2320,9.61
28/05/2004,158.0935,5.6,1.35,0.224350885,0.054084588,2299,9.24
29/05/2004,181.2394,5.35,1.1,0.231142449,0.047524616,2304,10.3183
30/05/2004,200.0078,4.95,1.2,0.263741182,0.063937256,2317.5,8.9748
31/05/2004,220.0397,4.9,1.4,0.244609847,0.069888528,2302.5,9.114
1/6/2004,239.6143,4.89,2.44,0.249813534,0.124651334,2267.5,9.3
2/6/2004,259.9414,5.15,2.65,0.253356357,0.130367834,2217.5,8.4
3/6/2004,281.3769,5.65,1.2,0.263581442,0.055981899,2222.5,9.3
4/6/2004,302.2643,5.45,1.2,0.260922853,0.057450903,2217.5,9
5/6/2004,322.7142,5.6,1.1,0.27383997,0.053789994,2225,9.3
6/6/2004,343.5337,6.1,1.5,0.292994548,0.07204784,2205,9.46
7/6/2004,365.438,9.9,1.6,0.451966052,0.073045019,2182.5,9.145
8/6/2004,386.8038,7.9,1.5,0.369749787,0.070205656,2188.5,9.021
9/6/2004,408.0354,9.1,1.5,0.428606417,0.070649409,2192.5,8.75
10/6/2004,429.3083,9.1,1.5,0.427774304,0.070512248,2194,8.71
11/6/2004,450.3749,8.06,1.5,0.382596147,0.071202757,2196.5,8.37
12/6/2004,470.8162,8.05,2,0.39381057,0.097841135,2190,8.504
13/06/2004,491.2075,8.45,1.5,0.414392412,0.073560783,2193.5,9.8197
14/06/2004,511.4181,8.5,1.2,0.420571383,0.059374784,2191.5,9.8273
15/06/2004,531.586,8.5,2.2,0.421461828,0.109084238,2196.5,9.9298
16/06/2004,552.0619,8.75,2,0.427331644,0.097675804,2192,9.288
17/06/2004,573.0534,9.5,1.1,0.452564133,0.052402163,2205,9.3
18/06/2004,593.6804,9.5,1.2,0.4605614,0.058176177,2212.5,9.06
19/06/2004,614.4288,9.2,1.1,0.443407684,0.053016136,2201.5,8.835
20/06/2004,635.2268,9.5,1.2,0.45677469,0.057697856,2195.5,8.3886
21/06/2004,655.9613,10,1.2,0.482287974,0.057874557,2197,8.4
22/06/2004,676.7852,11,2,0.528239187,0.096043488,2196.5,8.525
23/06/2004,697.4744,9.5,1.7,0.459176769,0.082168474,2197,8.25
24/06/2004,718.2507,9.95,1.25,0.478911067,0.060164707,2206.5,8.419
25/06/2004,738.5403,9.5,1.1,0.468220172,0.054214967,2208,9.455
26/06/2004,758.9607,9.5,2,0.465221053,0.097941274,2208.5,8.54
27/06/2004,779.3732,9.38,2.14,0.459522352,0.104837722,2210,9.455
28/06/2004,799.9064,10.05,1.82,0.48945123,0.088636939,2206.5,9
29/06/2004,820.1613,9.67,1.42,0.477415341,0.070106493,2210,9.599
30/06/2004,840.5131,9.66,1.96,0.474650891,0.096305978,2201.5,9.436
1/7/2004,861.4997,9.63,2.03,0.458864228,0.096728389,2197.5,9.5398
2/7/2004,882.2268,9.24,2.27,0.445793189,0.109518457,2194,9.0286
3/7/2004,902.9831,9.19,1.99,0.442757139,0.095874506,2192,8.932
4/7/2004,923.7912,9.73,2.03,0.467606365,0.097558162,2192,8.993
5/7/2004,944.344,9.95,1.59,0.484118952,0.077361722,2204.5,8.6784
6/7/2004,965.0994,9.02,0.87,0.434585698,0.041916802,2197,9.0111
